Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/Y61.sam
AT1G08300	30
AT1G08310	16
AT1G08315	384.50
AT1G08320	18
AT1G08340	16.50
AT1G08350	124.75
AT1G08360	2506
AT1G08370	433
AT1G08380	47324.21
AT1G08390	174
AT1G08400	22
AT1G08410	102
AT1G08420	1200
AT1G08430	0
AT1G08440	0.50
AT1G08450	2703.00
AT1G08460	670.83
AT1G08465	457.67
AT1G08470	353.50
AT1G08480	1895
AT1G08490	991.50
AT1G08500	146
AT1G08510	3202.58
AT1G08520	2465.33
AT1G08530	299.50
AT1G08540	910
AT1G08550	792.50
AT1G08560	137
AT1G08570	2956.83
AT1G08580	640
AT1G08590	21
AT1G08592	11
AT1G08600	108
AT1G08610	31
AT1G08620	152.50
AT1G08630	31
AT1G08640	2423.50
AT1G08650	1860.33
AT1G08660	351
AT1G08670	0
AT1G08680	367
AT1G08695	0
AT1G08700	618
AT1G08710	95
AT1G08720	261
AT1G08730	4.50
AT1G08750	240.50
AT1G08760	251
AT1G08770	759.50
AT1G08780	168.50
AT1G08790	0
AT1G08800	174.50
AT1G08810	91.50
AT1G08820	353.17
AT1G08830	9350.08
AT1G08840	631.58
AT1G08845	125
AT1G08860	3
AT1G08870	0
AT1G08880	3228.50
AT1G08890	390.50
AT1G08900	509
AT1G08910	120
AT1G08920	174
AT1G08930	4302.00
AT1G08940	89
AT1G08950	0
AT1G08960	244
AT1G08970	1153.50
AT1G08980	2478
AT1G08985	0
AT1G08990	0
AT1G09000	36
AT1G09010	614
AT1G09020	1073.50
AT1G09026	0
AT1G09030	0
AT1G09040	23
AT1G09050	13
AT1G09060	310
AT1G09070	7590
AT1G09080	76.50
AT1G09090	2
AT1G09100	225
AT1G09110	0
AT1G09130	2971.67
AT1G09140	842
AT1G09150	660
AT1G09155	1
AT1G09157	4
AT1G09160	539
AT1G09170	12.50
AT1G09176	0
AT1G09180	38.50
AT1G09190	55
AT1G09195	87
AT1G09200	2068.50
AT1G09210	1746.00
AT1G09220	19.50
AT1G09230	102.50
AT1G09240	71
AT1G09245	0
AT1G09250	1166
AT1G09260	0
AT1G09270	1028.50
AT1G09280	191.50
AT1G09290	118
AT1G09300	100.50
AT1G09310	13289.83
AT1G09320	122
AT1G09330	801.50
AT1G09340	14113.83
AT1G09350	38
AT1G09360	0
AT1G09370	8
AT1G09380	0
AT1G09390	175.50
AT1G09400	4.50
AT1G09410	2
AT1G09415	168.50
AT1G09420	35.50
AT1G09421	12.50
AT1G09430	1200.75
AT1G09440	64.50
