Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/WT2.sam
AT1G10580	722.50
AT1G10585	6
AT1G10586	0
AT1G10588	0
AT1G10590	1815.50
AT1G10600	286.50
AT1G10610	139
AT1G10620	0
AT1G10630	1645
AT1G10640	196
AT1G10650	274.50
AT1G10652	0
AT1G10657	144.33
AT1G10660	765.50
AT1G10670	3762.50
AT1G10680	2
AT1G10682	335.50
AT1G10690	59.67
AT1G10700	584
AT1G10710	3
AT1G10717	0
AT1G10720	393.50
AT1G10730	75.50
AT1G10740	700.50
AT1G10745	0
AT1G10747	0
AT1G10750	33
AT1G10760	5590.50
AT1G10770	13
AT1G10780	83
AT1G10790	5
AT1G10800	2
AT1G10810	2.50
AT1G10820	270.50
AT1G10830	1001.83
AT1G10840	2008.00
AT1G10850	428
AT1G10865	272.50
AT1G10870	285.50
AT1G10880	0
AT1G10890	535
AT1G10900	421.00
AT1G10910	655.50
AT1G10920	228
AT1G10930	245.50
AT1G10940	1271.00
AT1G10950	2636.50
AT1G10960	9746.25
AT1G10970	117.50
AT1G10980	20
AT1G10990	148
AT1G11000	113
AT1G11010	0.50
AT1G11020	276.50
AT1G11030	0
AT1G11040	0
AT1G11050	435
AT1G11060	213
AT1G11070	3
AT1G11080	35
AT1G11090	272.50
AT1G11100	20.50
AT1G11110	0
AT1G11112	42
AT1G11120	46
AT1G11125	11
AT1G11130	399
AT1G11145	0
AT1G11160	31
AT1G11170	56
AT1G11175	176
AT1G11180	303.50
AT1G11185	7
AT1G11190	35.50
AT1G11200	449.50
AT1G11210	316.50
AT1G11220	67
AT1G11230	0
AT1G11240	452
AT1G11250	1
AT1G11260	2108
AT1G11270	74.75
AT1G11280	301.50
AT1G11290	145.50
AT1G11300	233.50
AT1G11310	2964.17
AT1G11320	96
AT1G11330	1383.33
AT1G11340	60.83
AT1G11350	1028
AT1G11360	565.50
AT1G11362	2
AT1G11370	0
AT1G11380	189
AT1G11390	460.50
AT1G11400	243
AT1G11410	290
AT1G11420	31
AT1G11430	3367.33
AT1G11440	327.50
AT1G11450	44.25
AT1G11460	2.75
AT1G11470	0
AT1G11475	367
AT1G11480	743
AT1G11490	0
AT1G11500	6
AT1G11510	0
AT1G11520	0
AT1G11530	560.50
AT1G11540	17.50
AT1G11545	595
AT1G11550	0
AT1G11560	1
AT1G11570	14
AT1G11572	1
AT1G11580	634.50
AT1G11590	0
AT1G11592	143.00
AT1G11593	0
AT1G11600	355.67
AT1G11608	0
AT1G11610	0
AT1G11620	0
AT1G11630	141.50
AT1G11640	0
AT1G11650	5279.50
AT1G11655	0
AT1G11660	484.50
AT1G11670	408
AT1G11680	1812.50
AT1G11684	0
AT1G11690	0
AT1G11700	666.50
AT1G11710	29
AT1G11720	742
AT1G11730	41.50
AT1G11735	7
AT1G11740	41.33
AT1G11750	2673.00
AT1G11755	220
AT1G11760	107
AT1G11765	0.50
AT1G11770	0.83
AT1G11780	298.83
AT1G11785	8
AT1G11790	724.92
AT1G11800	172.50
AT1G11810	23
AT1G11820	1021.50
AT1G11840	4492.00
AT1G11850	889.83
AT1G11860	36497.83
AT1G11870	850
AT1G11880	141.50
AT1G11890	942
AT1G11900	63.67
AT1G11905	275
AT1G11910	8452.00
AT1G11915	4.50
AT1G11920	0
AT1G11925	9
AT1G11930	1545.67
AT1G11940	107
AT1G11950	81
AT1G11960	714.50
AT1G11970	0
AT1G11980	0
AT1G11990	52.50
AT1G12000	1345.50
AT1G12010	76.50
AT1G12013	10
AT1G12015	5
AT1G12020	266
AT1G12030	78.50
AT1G12040	0
AT1G12050	1121.83
AT1G12060	164.50
AT1G12064	1
