Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/R51.sam
AT1G09890	16
AT1G09900	403.50
AT1G09910	345.50
AT1G09920	567.50
AT1G09930	7
AT1G09932	1272.17
AT1G09935	20.50
AT1G09940	549
AT1G09950	20
AT1G09960	56
AT1G09970	4665.50
AT1G09980	605.50
AT1G09995	84
AT1G10000	17
AT1G10010	1
AT1G10020	1026
AT1G10030	193
AT1G10040	158.50
AT1G10050	498
AT1G10060	175
AT1G10070	125
AT1G10090	708
AT1G10095	74.50
AT1G10100	0
AT1G10110	5.50
AT1G10120	364.61
AT1G10130	950.00
AT1G10140	142
AT1G10150	329
AT1G10155	7
AT1G10170	920.50
AT1G10180	384
AT1G10190	0
AT1G10200	1639
AT1G10210	197.50
AT1G10220	5
AT1G10230	178.50
AT1G10240	169
AT1G10250	0
AT1G10270	207
AT1G10280	189
AT1G10290	2251
AT1G10300	0
AT1G10310	540
AT1G10320	252
AT1G10330	33
AT1G10340	670.50
AT1G10350	407.83
AT1G10360	892
AT1G10370	476
AT1G10380	103
AT1G10385	0
AT1G10390	1401
AT1G10400	0
AT1G10410	918
AT1G10417	24
AT1G10430	610.50
AT1G10440	0
AT1G10450	317
AT1G10455	0
AT1G10460	12
AT1G10470	2578.25
AT1G10480	4
AT1G10490	908.17
AT1G10500	1369.17
AT1G10510	961.50
AT1G10520	34
AT1G10522	421.50
AT1G10530	12.50
AT1G10540	19
AT1G10550	100
AT1G10560	37
AT1G10570	385.50
AT1G10580	605
AT1G10585	14
AT1G10586	0
AT1G10588	0
AT1G10590	2112.50
AT1G10600	377.00
AT1G10610	127.50
AT1G10620	0
AT1G10630	1690.00
AT1G10640	175
AT1G10650	389
AT1G10652	0
AT1G10657	102
AT1G10660	795
AT1G10670	4034.00
AT1G10680	0
AT1G10682	198.50
AT1G10690	110
AT1G10700	588
AT1G10710	2
AT1G10717	0
AT1G10720	468.50
AT1G10730	219.50
AT1G10740	649
AT1G10745	0
AT1G10747	0.50
AT1G10750	38.50
AT1G10760	7233.75
AT1G10770	6
AT1G10780	55
AT1G10790	11
AT1G10800	3
AT1G10810	15
AT1G10820	273
AT1G10830	786.50
AT1G10840	1857.17
AT1G10850	358.50
AT1G10865	437.00
AT1G10870	369
AT1G10880	0
AT1G10890	769.17
AT1G10900	476.50
AT1G10910	633
AT1G10920	281.50
AT1G10930	353.50
AT1G10940	1596.58
AT1G10950	2189.83
AT1G10960	8781.25
AT1G10970	157.50
AT1G10980	7
AT1G10990	95.50
AT1G11000	138.50
AT1G11010	0
AT1G11020	248.50
AT1G11030	0
AT1G11040	0
AT1G11050	366.50
AT1G11060	265.00
AT1G11070	19
AT1G11080	38
AT1G11090	221.50
AT1G11100	48
AT1G11110	6
AT1G11112	10
AT1G11120	46
AT1G11125	18
AT1G11130	348
AT1G11145	0
AT1G11160	29
AT1G11170	49
AT1G11175	116.33
AT1G11180	215
AT1G11185	0
AT1G11190	52
AT1G11200	431
AT1G11210	307
AT1G11220	44
AT1G11230	0
AT1G11240	398
AT1G11250	1
AT1G11260	1664
AT1G11270	59
AT1G11280	346.67
AT1G11290	137
AT1G11300	593
AT1G11310	5370.67
AT1G11320	102
AT1G11330	2480
AT1G11340	40.50
AT1G11350	917.50
AT1G11360	508.50
AT1G11362	1
AT1G11370	0
AT1G11380	125
AT1G11390	471.33
AT1G11400	300.50
AT1G11410	381
AT1G11420	65
AT1G11430	2897.50
AT1G11440	177.50
AT1G11450	37
AT1G11460	1
AT1G11470	0
AT1G11475	461.50
AT1G11480	970
AT1G11490	3
AT1G11500	2
AT1G11510	0
AT1G11520	0
AT1G11530	419
AT1G11540	5
AT1G11545	463
AT1G11550	0
AT1G11560	2
AT1G11570	19
AT1G11572	4
AT1G11580	471
AT1G11590	0
AT1G11592	114
AT1G11593	0
AT1G11600	131
AT1G11608	0
AT1G11610	0
AT1G11620	0
AT1G11630	168
AT1G11640	0
AT1G11650	4416.33
AT1G11655	0
AT1G11660	824
AT1G11670	157.50
AT1G11680	1362.50
AT1G11684	0
AT1G11690	0
AT1G11700	356
AT1G11710	41
AT1G11720	1080.50
AT1G11730	42
AT1G11735	4
AT1G11740	16
AT1G11750	2582.33
AT1G11755	215.33
AT1G11760	87
AT1G11765	0
AT1G11770	4
AT1G11780	331
AT1G11785	8
AT1G11790	973
AT1G11800	138.33
AT1G11810	9
AT1G11820	814
AT1G11840	6898.83
AT1G11850	317.50
AT1G11860	30642.54
AT1G11870	625.50
AT1G11880	128
AT1G11890	1208.50
AT1G11900	83
AT1G11905	369
AT1G11910	10911.67
AT1G11915	16
AT1G11920	2
AT1G11925	0
AT1G11930	1398
AT1G11940	185
AT1G11950	172.50
AT1G11960	513.67
AT1G11970	0
AT1G11980	0
AT1G11990	47
AT1G12000	1429.50
AT1G12010	38
AT1G12013	1.50
AT1G12015	0.50
AT1G12020	235
AT1G12030	11
AT1G12040	0
AT1G12050	1062
AT1G12060	80
AT1G12064	0
AT1G12070	1
AT1G12080	247
AT1G12090	11362.00
AT1G12100	9
AT1G12110	2340.50
AT1G12120	982
AT1G12130	1.50
AT1G12140	1096
AT1G12150	24.50
AT1G12160	55.50
AT1G12170	0
AT1G12180	0
AT1G12190	0
AT1G12200	196
AT1G12210	179
AT1G12211	3
AT1G12220	350.50
AT1G12230	1089
AT1G12240	2773.33
AT1G12244	241.50
AT1G12250	1252.00
AT1G12260	19
AT1G12270	800
AT1G12280	308
AT1G12290	176
AT1G12294	1
AT1G12300	49
AT1G12310	1396.50
AT1G12320	183
AT1G12330	340.50
AT1G12340	3.25
AT1G12350	353.50
AT1G12360	1413.50
AT1G12370	90.50
AT1G12380	273
AT1G12390	263.25
AT1G12400	183
AT1G12410	3755
AT1G12411	0
AT1G12420	577.50
AT1G12423	0
AT1G12430	543.33
AT1G12440	1376.50
AT1G12450	163
AT1G12451	0
AT1G12460	388
AT1G12470	701.50
AT1G12480	96
AT1G12490	3
AT1G12500	784.50
AT1G12510	0
AT1G12520	2511.50
AT1G12530	193
AT1G12540	0
AT1G12550	142
AT1G12560	0
AT1G12570	198
AT1G12580	848.50
AT1G12590	0
AT1G12600	3
AT1G12610	0
AT1G12620	84
AT1G12630	1
AT1G12640	788
AT1G12650	347.50
AT1G12660	0.50
AT1G12663	0
AT1G12665	0
AT1G12672	19
AT1G12680	309
AT1G12700	78
AT1G12710	477
AT1G12730	123
AT1G12740	1
AT1G12750	389
AT1G12760	1382
AT1G12770	1028.75
AT1G12775	67
AT1G12780	757.50
AT1G12790	63
AT1G12800	4238
AT1G12805	10
AT1G12810	418.33
AT1G12820	838.33
AT1G12830	259.50
AT1G12840	3992.00
AT1G12845	132.50
AT1G12850	878
AT1G12855	5
AT1G12860	571.50
AT1G12870	1
AT1G12880	201.50
AT1G12890	2
AT1G12900	39337.50
AT1G12910	443
AT1G12920	1474
AT1G12930	473.25
AT1G12938	0
AT1G12940	17
AT1G12950	17
AT1G12960	0
AT1G12970	151
AT1G12980	0
AT1G12990	1116
AT1G13000	556
AT1G13010	0
AT1G13020	938.50
AT1G13030	131
AT1G13040	64
AT1G13050	38
AT1G13060	2385
AT1G13080	408.75
AT1G13090	1475.25
AT1G13100	208
AT1G13110	2522.50
AT1G13120	300
AT1G13130	2
AT1G13140	15
AT1G13150	25
AT1G13160	481.75
AT1G13170	628.50
AT1G13180	255.50
AT1G13190	711.50
AT1G13195	201.50
AT1G13200	1
AT1G13210	2746.75
AT1G13220	289.50
AT1G13230	5
AT1G13240	0
AT1G13245	567.50
AT1G13250	400
AT1G13260	1519
AT1G13270	2039.50
AT1G13280	865.50
AT1G13290	0
AT1G13300	3
AT1G13310	32
AT1G13320	1403
AT1G13330	171.50
AT1G13340	864
AT1G13350	482.75
AT1G13360	1489.50
AT1G13370	10
AT1G13380	426
AT1G13390	590.50
AT1G13400	7
AT1G13410	39.50
AT1G13420	7
AT1G13430	5
