Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/H553.sam
AT1G11600	181.50
AT1G11608	0
AT1G11610	0
AT1G11620	0
AT1G11630	180
AT1G11640	2
AT1G11650	4493.08
AT1G11655	0
AT1G11660	835.50
AT1G11670	343
AT1G11680	1482
AT1G11684	0.50
AT1G11690	0.50
AT1G11700	219
AT1G11710	49
AT1G11720	1174.50
AT1G11730	40.50
AT1G11735	7
AT1G11740	2
AT1G11750	2651.50
AT1G11755	263
AT1G11760	109
AT1G11765	0
AT1G11770	0
AT1G11780	380
AT1G11785	10
AT1G11790	673.83
AT1G11800	132
AT1G11810	10.50
AT1G11820	884
AT1G11840	6467.58
AT1G11850	271
AT1G11860	20430.58
AT1G11870	571
AT1G11880	173.50
AT1G11890	1607.83
AT1G11900	61.50
AT1G11905	327
AT1G11910	10022.17
AT1G11915	4
AT1G11920	0
AT1G11925	2
AT1G11930	1131.50
AT1G11940	192.33
AT1G11950	154
AT1G11960	783
AT1G11970	0
AT1G11980	0
AT1G11990	43
AT1G12000	1243.50
AT1G12010	59
AT1G12013	3
AT1G12015	0
AT1G12020	276.50
AT1G12030	24
AT1G12040	0
AT1G12050	982.50
AT1G12060	89
AT1G12064	0
AT1G12070	0
AT1G12080	159.17
AT1G12090	7331.83
AT1G12100	6
AT1G12110	2158.17
AT1G12120	1168
AT1G12130	0
AT1G12140	960
AT1G12150	22
AT1G12160	44.83
AT1G12170	0
AT1G12180	0
AT1G12190	0
AT1G12200	153
AT1G12210	144
AT1G12211	3.50
AT1G12220	265
AT1G12230	1399
AT1G12240	3062.25
AT1G12244	203
AT1G12250	1246.50
AT1G12260	21
AT1G12270	731.50
AT1G12280	294
AT1G12290	163.50
AT1G12294	0
AT1G12300	57
AT1G12310	1028
AT1G12320	127
AT1G12330	368.50
AT1G12340	1
AT1G12350	276.33
AT1G12360	1619.50
AT1G12370	98.50
AT1G12380	230.50
AT1G12390	292
AT1G12400	245.50
AT1G12410	3189.33
AT1G12411	0.50
AT1G12420	414.50
AT1G12423	0
AT1G12430	560.50
AT1G12440	1271.33
AT1G12450	119.50
AT1G12451	0
AT1G12460	308
AT1G12470	744.67
AT1G12480	68.67
AT1G12490	0
AT1G12500	905.50
AT1G12510	0
AT1G12520	1269
AT1G12530	200
AT1G12540	0
AT1G12550	123.50
AT1G12560	0
AT1G12570	169
AT1G12580	871.50
AT1G12590	0
AT1G12600	4
AT1G12610	0
AT1G12620	73
AT1G12630	2.50
AT1G12640	801
AT1G12650	350.50
AT1G12660	0
AT1G12663	0
AT1G12665	0
AT1G12672	9
AT1G12680	330.50
AT1G12700	62
AT1G12710	246
AT1G12730	116.67
AT1G12740	0
AT1G12750	415.50
AT1G12760	1297.17
AT1G12770	1101
AT1G12775	68.50
AT1G12780	803.50
AT1G12790	53
AT1G12800	3460
AT1G12805	9
AT1G12810	509.50
AT1G12820	941
AT1G12830	238.50
AT1G12840	3477.08
AT1G12845	131.50
AT1G12850	815
AT1G12855	2
AT1G12860	568
AT1G12870	1
AT1G12880	140
AT1G12890	1
AT1G12900	25020.67
AT1G12910	418
AT1G12920	1303.50
AT1G12930	379.50
AT1G12938	0
AT1G12940	6
AT1G12950	3.33
AT1G12960	0
AT1G12970	266
AT1G12980	2
AT1G12990	815.58
AT1G13000	637
AT1G13010	0
AT1G13020	716.50
AT1G13030	121.50
AT1G13040	35
AT1G13050	47
AT1G13060	2001.67
AT1G13080	591
AT1G13090	1350.50
AT1G13100	227.50
AT1G13110	2737.83
AT1G13120	293.50
AT1G13130	2
AT1G13140	13
AT1G13150	34
AT1G13160	524.67
AT1G13170	571
AT1G13180	231
AT1G13190	739.50
AT1G13195	234.50
AT1G13200	0
AT1G13210	3196.00
AT1G13220	149.50
AT1G13230	1
